PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Walia, R; Aendenroomer, A; Mok, GK			IEEE	Walia, R; Aendenroomer, A; Mok, GK			An intelligent immune agent management system for facilitating e-diagnosis in manufacturing	2005 3rd IEEE International Conference on Industrial Informatics (INDIN)			English	Proceedings Paper	3rd IEEE International Conference on Industrial Informatics (INDIN)	AUG 10-12, 2005	Perth, AUSTRALIA	IEEE		immune agents; agent communication; equipment maintenance; diagnostics; prognostics		This paper focuses on designing and implementing an Agent Framework for the purposes of electronic prognostics of critical tools and machinery in the plant. It deals with dual communication i.e. one originating from the sensors and relayed to various reception centers and the other originating from an Intelligent Prognostics Engine (IPE) being fed back to the control mechanism (Manual/Automated) of the machinery. The paper presents the feasibility of deploying agents in embedded and supervisory controllers for collating, managing and communicating information. The conceptual design and prototype model establishes the efficacy of the agent framework in diagnostics as well as prognostics. The framework is developed using Java Agent Development Framework (JADE). This paper concentrates on development of peer agent communication, communication ontologies; agent behaviors based on messaging performatives, integration issues and graphical user interfaces for diverse agents and human interfaces. It also evolves a conceptual Agent framework for manufacturing environment. The work can potentially improve reliability: reduce equipment downtime by using intelligence and contextual information from sensors and events. It facilitates the timely availability of the critical data for real-time monitoring and corrective signals, as well as a transparent and rapid configuration mechanism for intelligent monitoring.	Nanyang Technol Univ, Sch Mech & Aerosp Engn, Singapore 639798, Singapore		Walia, R (corresponding author), Singapore Inst Mfg Technol, 71 Nanyang Dr, Singapore 638075, Singapore.						Aendenroomer AJ, 2003, INDIN 2003: IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS, PROCEEDINGS, P96, DOI 10.1109/INDIN.2003.1300253; Bellifemine F., JADE WHITE PAPER; CORTESE E, SCALABILITY PERFORMA; DIEP D, 2004, IEEE INT SEM IND EL, P739; DONG JF, IN PRESS INT J ADV M; HE H, 2003, 9 INT C EM TECHN FAC; Shen W., 1999, Knowledge and Information Systems, V1, P129; Vachtsevanos G., 1986, Proceedings of the 1986 IEEE International Conference on Systems, Man, and Cybernetics (Cat. No.86CH2364-8), P1390; VACHTSEVANOS G, 1992, AIAA J GUIDANCE CONT, V15, P1216; 2004, JADE PROGRAMMERS GUI; 2004, JADE ADM GUIDE	11	3	3	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-9094-6				2005							791	796					6	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Engineering, Industrial; Engineering, Manufacturing	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BDJ11	WOS:000233706000132					2022-02-14	
C	Khalil, A; Gill, MK; McKee, M			IEEE	Khalil, A; Gill, MK; McKee, M			New applications for information fusion and soil moisture forecasting	2005 7TH INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION), VOLS 1 AND 2			English	Proceedings Paper	7th International Conference on Information Fusion (FUSION)	JUL 25-28, 2005	Philadelphia, PA	IEEE				There is much concurrent ongoing research to develop, advance and apply new techniques capable of addressing the diverse applications and complexities of data fusion. In this paper we demonstrate the success of statistical learning theory-based support vector machine (SVM) and sparse Bayesian learning-based relevance vector machine (RVM) to perform reliable predictions. The prognostic capability of SVM and RVM will be utilized to achieve high level inference. The plausibility of these techniques is shown by their superior performance in forecasting soil moisture providing exogenous knowledge.	Utah Water Res Lab, Logan, UT USA		Khalil, A (corresponding author), Utah Water Res Lab, Logan, UT USA.	akhalil@cc.usu.edu; kashif@cc.usu.edu; Mac.McKee@usu.edu					ALLEN PB, 1991, ARS90 USDANAWQL; Asefa T, 2004, WATER RESOUR RES, V40, DOI 10.1029/2004WR003304; Baghdadi N, 2002, CAN J REMOTE SENS, V28, P701, DOI 10.5589/m02-066; Berger J.O., 1985, STAT DECISION THEORY, V2nd ed.; Govindaraju RS, 2000, J HYDROL ENG, V5, P124; JACKSON TJ, 1997, SO GREAT PLAINS 1997; Kecman V., 2001, LEARNING SOFT COMPUT; Khalil A, 2005, WATER RESOUR RES, V41, DOI 10.1029/2004WR003608; Kunstmann H, 2002, WATER RESOUR RES, V38, DOI 10.1029/2000WR000022; Legates DR, 1999, WATER RESOUR RES, V35, P233, DOI 10.1029/1998WR900018; Li Y, 2002, BIOINFORMATICS, V18, P1332, DOI 10.1093/bioinformatics/18.10.1332; Liong SY, 2002, J AM WATER RESOUR AS, V38, P173, DOI 10.1111/j.1752-1688.2002.tb01544.x; MacKay D. J. C, 2003, INFORM THEORY INFERE; MACKAY DJC, 1992, NEURAL COMPUT, V4, P415, DOI 10.1162/neco.1992.4.3.415; Mather J.K., 1974, CLIMATOLOGY FUNDAMEN, P151; MUKHERJEE S, 1997, P IEEE WORKSH NEUR N; SCHMUGGE T, 1986, IEEE T GEOSCI REMOTE, V24, P12, DOI 10.1109/TGRS.1986.289584; Scholkopf B., 2001, LEARNING KERNELS SUP; Tipping ME, 2000, ADV NEUR IN, V12, P652; Tipping ME, 2001, J MACH LEARN RES, V1, P211, DOI 10.1162/15324430152748236; Vapnik V.N., 2000, NATURE STAT LEARNING; Vapnik VN., 1998, STAT LEARNING THEORY; WAHBA G, 1985, ANN STAT, V13, P1378, DOI 10.1214/aos/1176349743; Willmott C.J., 1984, SPATIAL STAT MODELS, P443, DOI [DOI 10.1007/978-94-017-3048-8_23, 10.1007/978-94-017-3048-8_23]; Yu XY, 2004, J HYDROINFORM, V6, P209, DOI 10.2166/hydro.2004.0016; YU XY, 2004, THESIS NATL U SINGAP	26	7	7	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-9286-8				2005							1622	1628					7	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Imaging Science & Photographic Technology	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Imaging Science & Photographic Technology	BDP88	WOS:000234830400217					2022-02-14	
C	Cunha, CCM; Carvalho, L; Borel, UFP; Cardoso, BJ			IEEE	Cunha, CCM; Carvalho, L; Borel, UFP; Cardoso, BJ			Modelling, simulations and experimental tests of an induction machine with rotor asymmetries	2005 IEEE 36TH POWER ELECTRONIC SPECIALISTS CONFERENCE (PESC), VOLS 1-3	IEEE POWER ELECTRONICS SPECIALISTS CONFERENCE RECORDS		English	Proceedings Paper	36th Annual IEEE Power Electronic Specialists Conference (PESC 05)	JUN 12-16, 2005	Recife, BRAZIL	IEEE			BAR	The need for detection of rotor faults at an earlier stage, so that maintenance can be planned ahead, has pushed the development of monitoring methods with increasing sensitivity and noise immunity. An important issue in such effort is the modelling of the induction machine including rotor bar and end-ring faults, with a minimum of computational complexity. In this paper, a simpler method is employed In the simulation and analysis of an induction motor with rotor asymmetries. Simulation, Finite Element Analysis and experimental results are presented to support the proposed approach.	Univ Fed Espirito Santo, Dept Elect Engn, BR-29060970 Vitoria, ES, Brazil		Cunha, CCM (corresponding author), Univ Fed Espirito Santo, Dept Elect Engn, BR-29060970 Vitoria, ES, Brazil.	carla@ele.ufes.br; leocarvalho@gmail.com; ugoborel@ufmg.br; cardosob@ufmg.br		Cunha, Carla/0000-0002-9837-8807			Cunha CCM, 2003, IEEE IND APPLIC SOC, P883; Cunha CCM, 2003, IEEE IEMDC'03: IEEE INTERNATIONAL ELECTRIC MACHINES AND DRIVES CONFERENCE, VOLS 1-3, P703, DOI 10.1109/IEMDC.2003.1210313; CUNHA CCM, 2004, P 11 INT POW EL MOT; CUNHA CCM, 2002, P IEEE IECON 02, V1, P72; Munoz AR, 1999, IEEE T IND APPL, V35, P1332, DOI 10.1109/28.806047; NOVOTNY DW, 1998, VECTOR CONTROL DYNAM; TOLIYAT HA, 1995, IEEE T ENERGY CONVER, V10, P241, DOI 10.1109/60.391888	7	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0275-9306		0-7803-9033-4	IEEE POWER ELECTRON			2005							745	751		10.1109/PESC.2005.1581710			7	Energy & Fuels; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Energy & Fuels; Engineering	BEE92	WOS:000237036500118					2022-02-14	
C	Kral, C; Kapeller, H; Pirker, F; Pascoli, G			IEEE	Kral, C; Kapeller, H; Pirker, F; Pascoli, G			Discrimination of rotor faults and low frequency load torque modulations of squirrel cage induction machines by means of the Vienna Monitoring Method	2005 IEEE 36th Power Electronic Specialists Conference (PESC), Vols 1-3	IEEE POWER ELECTRONICS SPECIALISTS CONFERENCE RECORDS		English	Proceedings Paper	36th Annual IEEE Power Electronic Specialists Conference (PESC 05)	JUN 12-16, 2005	Recife, BRAZIL	IEEE			SYSTEM; MOTORS	Electrical rotor asymmetries such as broken rotor bars give rise to well known side band currents in the vicinity of the fundamental as well as double slip frequency torque modulation. An externally caused low frequency load torque modulation may therefore also cause similar effects such as side band currents and modulation of the electromechanical torque. It is therefore a challenge to clearly distinguish these cases. In this paper rotor fault detection is performed by means of the Vienna Monitoring Method. This fault detection technique is based on a two model approach. Two mathematical induction machine models are used to calculate certain state variables such as flux and torque. From the difference of the calculated torque values a rotor fault indicator is derived. Measuring results were obtained from a 18.5 kW four pole induction machine with three broken bars. The Vienna Monitoring Method was applied to the faulty machine with and without load torque oscillations in order to study the ability of the discrimination of externally caused torque modulations and torque modulations due to rotor faults.	Arsenal Res, A-1030 Vienna, Austria		Kral, C (corresponding author), Arsenal Res, Faradaygasse 3, A-1030 Vienna, Austria.		Pirker, Franz/K-3954-2016				Durocher DB, 2004, IEEE IND APPL MAG, V10, P12, DOI 10.1109/MIA.2004.1330766; Kleinrath H., 1993, Elektrotechnik und Informationstechnik, V110, P68; Kral C, 2000, IEEE T IND ELECTRON, V47, P1042, DOI 10.1109/41.873212; KRAL C, 2001, EPE; KRAL C, 2001, IEEE INT S DIAGN EL, P447; KRAL C, 2000, S POW EL EL DRIV AUT; KRAL C, 1999, INT S DIAGN EL MACH, P395; KRAL C, 2003, S DIAGN EL MACH POW, P265; Legowski SF, 1996, IEEE T IND APPL, V32, P904, DOI 10.1109/28.511648; NANDI S, 1999, 1999 34 IAS ANN M, V3, P1922; Schoen RR, 1997, IEEE T IND APPL, V33, P1571, DOI 10.1109/28.649970; Trzynadlowski AM, 2000, IEEE T IND ELECTRON, V47, P1092, DOI 10.1109/41.873218; Wieser R, 1999, IEEE T POWER ELECTR, V14, P858, DOI 10.1109/63.788482	13	14	14	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0275-9306		0-7803-9033-4	IEEE POWER ELECTRON			2005							2861	2866		10.1109/PESC.2005.1582039			6	Energy & Fuels; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Energy & Fuels; Engineering	BEE92	WOS:000237036502140					2022-02-14	
C	Cunha, CCM; Borel, UFP; Cardoso, BJ			IEEE	Cunha, CCM; Borel, UFP; Cardoso, BJ			Squirrel cage induction machine broken bars fault detection using adjustable speed drives	2005 IEEE 36TH POWER ELECTRONIC SPECIALISTS CONFERENCE (PESC), VOLS 1-3	IEEE POWER ELECTRONICS SPECIALISTS CONFERENCE RECORDS		English	Proceedings Paper	36th Annual IEEE Power Electronic Specialists Conference (PESC 05)	JUN 12-16, 2005	Recife, BRAZIL	IEEE			ROTOR BAR	The need for detection of rotor faults at an earlier stage, so that maintenance can be planned ahead, has pushed the development of monitoring methods with increasing sensitivity and noise immunity. Addressing diagnostic techniques based on current signatures analysis (MCSA), the anomalous components introduced by a specific fault in the current spectrum are investigated and diagnostic procedure is able to correlate the amplitude of these components to the fault extent. In this paper, the impact of feedback control on asymmetric rotor cage induction machine behavior is presented. The diagnostic variables usually used for open-loop operation are no longer effective under closed-loop operation. Simulation results show that signals already present at the drive have suitable features that can lead to an effective diagnostic procedure.	Univ Fed Espirito Santo, Dept Elect Engn, BR-29060970 Vitoria, ES, Brazil		Cunha, CCM (corresponding author), Univ Fed Espirito Santo, Dept Elect Engn, BR-29060970 Vitoria, ES, Brazil.	carla@ele.ufes.br; ugoborel@ufmg.br; cardosob@ufmg.br		Cunha, Carla/0000-0002-9837-8807			Cunha CCM, 2003, IEEE IND APPLIC SOC, P883; Cunha CCM, 2003, IEEE IEMDC'03: IEEE INTERNATIONAL ELECTRIC MACHINES AND DRIVES CONFERENCE, VOLS 1-3, P703, DOI 10.1109/IEMDC.2003.1210313; CUNHA CCM, 2004, P 11 INT POW EL MOT; CUNHA CCM, 2002, P IEEE IECON 02, V1, P72; Munoz AR, 1999, IEEE T IND APPL, V35, P1332, DOI 10.1109/28.806047; NOVOTNY DW, 1998, VECTOR CONTROL DYNAM; TOLIYAT HA, 1995, IEEE T ENERGY CONVER, V10, P241, DOI 10.1109/60.391888	7	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0275-9306		0-7803-9033-4	IEEE POWER ELECTRON			2005							2881	2885		10.1109/PESC.2005.1582042			5	Energy & Fuels; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Energy & Fuels; Engineering	BEE92	WOS:000237036502143					2022-02-14	
C	Nambuni, SM; Tu, H; Luo, J; Pattipati, KR			IEEE	Nambuni, Setu Madhavi; Tu, Haiying; Luo, Jianhui; Pattipati, Krishna R.			Experiments on supervised learning algorithms for text categorization	2005 IEEE AEROSPACE CONFERENCE, VOLS 1-4	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	2005 IEEE Aerospace Conference	MAR 05-12, 2005	Big Sky, MT	IEEE				Modern(1,2) information society is facing the challenge of handling massive volume of online documents, news, intelligence reports, and so on. How to use the information accurately and in a timely manner becomes a major concern in many areas. While the general information may also include images and voice, we focus on the categorization of text data in this paper. We provide a brief overview of the information processing flow for text categorization, and discuss two supervised learning algorithms, viz., support vector machines (SVM) and partial least squares (PLS), which have been successfully applied in other domains, e.g., fault diagnosis Error! Reference source not found.. While SVM has been well explored for binary classification and was reported as an efficient algorithm for text categorization, PLS has not yet been applied to text categorization. Our experiments are conducted on three data sets: Reuter's-21578 dataset about corporate mergers and data acquisitions (ACQ), WebKB and the 20-Newsgroups. Results show that the performance of PLS is comparable to SVM in text categorization. A major drawback of SVM for multi-class categorization is that it requires a voting scheme based on the results of pairwise classification. PLS does not have this drawback and could be a better candidate for multi-class text categorization.	Univ Connecticut, Dept ECE, Storrs, CT 06269 USA		Nambuni, SM (corresponding author), Univ Connecticut, Dept ECE, Storrs, CT 06269 USA.	krishna@engr.uconn.edu					Bingham E., P 7 ACM SIGKDD INT C, P245; Burges CJC, 1998, DATA MIN KNOWL DISC, V2, P121, DOI 10.1023/A:1009715923555; COOLEY R, 1999, IJCAI 99 WORKSH TEXT; Cover T. M., 1991, ELEMENTS INFORM THEO; CRAVEN M, 1998, P 15 NAT C ART INT; Dumais S., 1998, Proceedings of the 1998 ACM CIKM International Conference on Information and Knowledge Management, P148, DOI 10.1145/288627.288651; FRAGGOUDIS D, 2002, INTEGRATING FEATURE, P501; Ge M, 2004, MECH SYST SIGNAL PR, V18, P143, DOI 10.1016/S0888-3270(03)00071-2; GELADI P, 1986, ANAL CHIM ACTA, V185, P1, DOI 10.1016/0003-2670(86)80028-9; Joachims T, 1999, MACHINE LEARNING, PROCEEDINGS, P200; Joachims T, 1998, P 10 EUR C MACH LEAR, P137, DOI [DOI 10.1007/BFB0026683, 10.1007/BFb0026683]; JOACHIMS T, 1997, P INT C MACH LEARN I; KO Y, 2002, COLING; LEWIS DD, 1994, P SDAIR 3 ANN S DOC; LIAO C, 2003, ADM03 WORKSH AUSTR D; MADSEN RE, 2004, PART SPEECH ENHANCED; McCallum A, 1998, P WORKSHOP LEARNING, V752, P41; MCCALLUM AK, 1996, TOOLKIT STAST LANGUA; Nigam K, 2000, MACH LEARN, V39, P103, DOI 10.1023/A:1007692713085; Pedersen J.O, 1997, P 14 INT C MACH LEAR, P35; RASMUS B, 1996, MULTIWAY CALIBRATION, V10, P47; SALTON G, 1988, INFORM PROCESS MANAG, V24, P513, DOI 10.1016/0306-4573(88)90021-0; SALTON G, 1983, COMMUN ACM, V26, P1022, DOI 10.1145/182.358466; Salton G., 1989, AUTOMATIC TEXT PROCE; Shih L., 2003, ICML; Smola Alexander J., 2000, ADV LARGE MARGIN CLA; SUN A, 2002, P 4 INT WORKSH WEB I, P96; TOBIAS RD, 1997, TS509 SAS I INC; ZELIKOVITZ S, 2001, P C IFN KNOWL MAN CI	29	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-8869-0	AEROSP CONF PROC			2005							3102	3109					8	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BEN93	WOS:000238379002094					2022-02-14	
C	Bodden, DS; Hadden, W; Grube, BE; Clements, NS			IEEE	Bodden, David S.; Hadden, Wes; Grube, Bill E.; Clements, N. Scott			PHM as a design variable in air vehicle conceptual design	2005 IEEE Aerospace Conference, Vols 1-4	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2005 IEEE Aerospace Conference	MAR 05-12, 2005	Big Sky, MT	IEEE				Flight critical systems in air vehicles achieve required reliability through different redundancy design techniques including physical system redundancy. Prognostics and health management technology provides the opportunity to eliminate some of the physical redundancy (and associated weight) through implementation of accurate remaining useful life (RUL) algorithms. Consideration of this subsystem design approach upfront during the conceptual design process(1,2) rather than downstream during the detailed design phase of the air vehicle system may produce a more optimal air vehicle configuration with regard to reliability and weight. Results are presented for an unmanned air vehicle design optimization which included RLTL algorithm confidence, control surface actuator redundancy and control surface configuration as optimization variables. Optimization constraints included landing dispersion, mission reliability and mission availability. Reductions in air vehicle weight were achieved with reasonable RUL accuracy requirements.	Lockheed Martin Aeronaut Co, Ft Worth, TX 76108 USA		Bodden, DS (corresponding author), Lockheed Martin Aeronaut Co, 1 Lockheed Blvd, Ft Worth, TX 76108 USA.						BACK T, 1997, IEEE T EVOLUTIONARY, V1, P1; Bordignon K., 2002, 2002 BIENN INT POW L; CLOUGH B, 2000, IEEE NAECON P DAYT O; ENGEL J, 2000, IEEE AER C P BIG SKY; FERRELL B, 2000, IEEE AER C P BIG SKY; HENLEY S, 2000, IEEE AER C P BIG SKY; SMITH G, 1997, IEEE AUT P AN CA SEP; VIRNIG JC, 1994, AIAA GUID NAV CONTR; Wadley J., 2003, AIAA GUID NAV CONTR	9	3	3	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-8869-0	AEROSP CONF PROC			2005							3384	3394					11	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BEN93	WOS:000238379002122					2022-02-14	
C	Nasser, L; Tryon, R; Dey, A			IEEE	Nasser, Loren; Tryon, Robert; Dey, Animesh			Material simulation-based electronic device prognosis	2005 IEEE Aerospace Conference, Vols 1-4	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2005 IEEE Aerospace Conference	MAR 05-12, 2005	Big Sky, MT	IEEE				Electronic systems, such as power supplies, are complex multilayered devices consisting of different materials with inherent variability. Thermal gradient cycling occurs during system operation which eventually results in thermo-mechanical fatigue induced failure. Such failures can result in immediate electronic system shutdown with no advanced fault or warning signals; thus preventing the use of conventional fault-to-failure detection approaches as a means of predicting maintenance need. This NAVAIR sponsored SBIR project uses state-of-the-art material modeling to predict degradation of circuit board elements as a means for "simulated fault detection." This effort has been focused on the specific aspect of solder fracture and fatigue since electronic industry statistics have attributed this failure issue as a driving factor in system reliability. This project will demonstrate feasibility for using conventional, off-the-shelf sensing, to predict solder degradation due to thermal cycling as a means to prognosticate electronic device reliability.(12)	VEXTEC Corp, Brentwood, TN 37027 USA		Nasser, L (corresponding author), VEXTEC Corp, 750 Old Hickory Blvd,Bldg 2,Suite 270, Brentwood, TN 37027 USA.						KNECHT S, 1991, INTEGRATED MATRIX CR; LAU JH, 1997, SOLDER JOINT RELIABI; LIANG J, 1997, ADV ELECT PACKAGING, V2; MORRIS JW, 1997, ADV ELECT PACKAGING, V2; TRYON RG, 2001, DAAH0101CR127 DARPA	5	2	2	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-8869-0	AEROSP CONF PROC			2005							3579	3584					6	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BEN93	WOS:000238379003018					2022-02-14	
C	Hess, A; Calvello, G; Frith, P			IEEE	Hess, Andrew; Calvello, Giulio; Frith, Peter			Challenges, issues, and lessons learned chasing the "Big P": Real predictive prognostics Part 1	2005 IEEE Aerospace Conference, Vols 1-4	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2005 IEEE Aerospace Conference	MAR 05-12, 2005	Big Sky, MT	IEEE				The desire and need for real predictive prognostics capabilities have been around for as long as man has operated complex and expensive machinery. There has been a long history of trying to develop and implement various degrees of prognostic and useful life remaining capabilities. Stringent Diagnostic, Prognostic, and Health Management capability requirements are being placed on new applications, like the Joint Strike Fighter (JSF), in order wenable and reap the benefits of revolutionary Autonomic Logistic support concepts. While fault detection and fault isolation effectiveness with very low false alarm rates continue to improve on these new applications; the prognostics requirements are even more ambitious and present very significant challenges to the system design teams. This paper(1,2) will explore some of these design challenges and issues; discuss the various degrees of prognostic capabilities; and draw heavily on lessons learned from previous prognostic development efforts.	Joint Strike Fighter Program Off, Arlington, VA 22202 USA		Hess, A (corresponding author), Joint Strike Fighter Program Off, 200 12th St S, Arlington, VA 22202 USA.						CALVELLO G, 2004, 2004 IEEE C MARCH; HESS A, 2001, 2001 IEEE C MARCH; HESS A, 2002, 2002 IEEE C MARCH	3	20	22	3	7	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-8869-0	AEROSP CONF PROC			2005							3610	3619					10	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BEN93	WOS:000238379003022					2022-02-14	
C	Luo, JH; Namburu, M; Pattipati, KR; Qiao, L; Chigusa, SS			IEEE	Luo, Jianhui; Namburu, Madhavi; Pattipati, Krishna R.; Qiao, Liu; Chigusa, Shunsuke			Integrated model-based and data-driven diagnostic strategies applied to an anti-lock brake system	2005 IEEE Aerospace Conference, Vols 1-4	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2005 IEEE Aerospace Conference	MAR 05-12, 2005	Big Sky, MT	IEEE				Model-based fault diagnosis, using statistical techniques, residual generation (by analytical redundancy), and parameter estimation, has been an active area of research for the past four decades. However, these techniques are developed in isolation and generally a single technique can not address the diagnostic problems in complex systems. In this paper, we will investigate a hybrid approach, which combines different techniques to obtain better diagnostic performance than the use of a single technique alone, and demonstrate it on an Anti-lock Brake System. In this approach, we first combine the parity equations and nonlinear observer to generate the residuals. Statistical tests, in particular Generalized Likelihood Ratio tests (GLRT), are used to detect a subset of faults that are easier to detect. Support Vector Machines (SVM) are used for fault isolation of less-sensitive parametric faults. Finally, subset selection for improved parameter estimation is used to estimate fault severity.	Univ Connecticut, Dept ECE, Storrs, CT 06269 USA		Luo, J (corresponding author), Univ Connecticut, Dept ECE, 316 Fairfield St, Storrs, CT 06269 USA.						Burth M, 1999, IEEE T POWER SYST, V14, P218, DOI 10.1109/59.744536; SCHRODER D, 2000, INTELLIGENT OBSERVER; SMOLA AJ, 2000, ADV LARGE MAIN CLASS; Wu MC, 2003, MECHATRONICS, V13, P331, DOI 10.1016/S0957-4158(01)00049-6	4	4	5	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-8869-0	AEROSP CONF PROC			2005							3702	3708		10.1109/AERO.2005.1559675			7	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BEN93	WOS:000238379003031					2022-02-14	
