PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Nelson, FC			SPIE; SPIE	Nelson, FC			The role of damping in the performance and stability of rotors	PROCEEDINGS OF IMAC-XIX: A CONFERENCE ON STRUCTURAL DYNAMICS, VOLS 1 AND 2	PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)		English	Proceedings Paper	19th International Model Analysis Conference	FEB 05-08, 2001	KISSIMMEE, FL	Soc Expt Mech Inc				External damping due to fluid-flim bearings affects the number and locations of the critical speeds of a rotor. Internal damping inherent in the rotor construction or material, or both, affects its stability. These effects will be illustrated for both linear viscous and hysterectic damping. In addition, some comments will be made about the self-excited, subsynchronous vibraton due to nonlinearities in fluid-film support bearings. The premise of the paper is that a better understanding of these effects will lead to better fault diagnosis and to more comprehensive knowledge-based maintenance for rotating machines.	Tufts Univ, Dept Mech Engn, Medford, MA 02155 USA		Nelson, FC (corresponding author), Tufts Univ, Dept Mech Engn, Medford, MA 02155 USA.						CERMINARO A, 1998, P 5 IFTOMM INT C ROT; Ferraris G., 1998, ROTORDYNAMICS PREDIC; LUND JW, 1974, J ENG IND, V92; SOMEYA T, 1991, J BEARING HDB; ZORZI ES, 1977, J ENG POWER      JAN	5	0	0	0	0	SOC EXPERIMENTAL MECHANICS INC	BETHEL	7 SCHOOL ST, BETHEL, CT 06801 USA	0277-786X		0-912053-72-0	P SOC PHOTO-OPT INS			2001	4359						993	997					3	Engineering, Civil; Engineering, Mechanical; Materials Science, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Materials Science	BS11E	WOS:000168694300154					2022-02-14	
C	Manson, G; Worden, K			SPIE; SPIE	Manson, G; Worden, K			Sensor optimisation for a damage location problem	PROCEEDINGS OF IMAC-XIX: A CONFERENCE ON STRUCTURAL DYNAMICS, VOLS 1 AND 2	Proceedings of SPIE		English	Proceedings Paper	19th International Model Analysis Conference	FEB 05-08, 2001	KISSIMMEE, FL	Soc Expt Mech Inc			NOVELTY DETECTION; NETWORK	A promising strategy for damage detection in machines and structures is that of novelty detection. The philosophy of the method requires the construction of a template for normal condition which measured patterns can be compared against: any significant departure from the template signals anomalous or fault condition. This method only provides a level 1 diagnostic in Rytter's sense and cannot show the location or severity of the fault. It has been shown recently. that by passing to networks of novelty detectors, a locating facility can be established This has been demonstrated on a synthetic truss structure and a plate. Both simulations assumed a dense sensor network which covered the structure. The object of the current paper is to establish a more practical tool by passing to a sparse sensor network. This accomplished by optimising the performance of the diagnostic on subsets of the sensor net using a Genetic Algorithm.	Univ Sheffield, Dept Mech Engn, Dynam Res Grp, Sheffield S1 3JD, S Yorkshire, England		Manson, G (corresponding author), Univ Sheffield, Dept Mech Engn, Dynam Res Grp, Mappin St, Sheffield S1 3JD, S Yorkshire, England.			Manson, Graeme/0000-0001-7484-5127; Worden, Keith/0000-0002-1035-238X			ALLMAN DJ, 2000, MSSMSTR2CR000690 DER; Barnett V., 1994, OUTLIERS STAT DATA, V3rd ed.; Bishop C. M., 1995, NEURAL NETWORKS PATT, DOI DOI 10.1201/9781420050646.PTB6; BISHOP CM, 1994, IEE P-VIS IMAGE SIGN, V141, P217, DOI 10.1049/ip-vis:19941330; Goldberg DE, 1989, GENETIC ALGORITHMS S; MANSON G, 2000, P ISMA, V25; Nairac A, 1997, IEE CONF PUBL, P117, DOI 10.1049/cp:19970712; POMERLEAU DA, 1995, ADV NEURAL INFORMATI, V5; ROBERTS S, 1994, NEURAL COMPUT, V6, P270, DOI 10.1162/neco.1994.6.2.270; Surace C., 1997, P 15 INT MOD AN C FL, P947; TARASSENKO L, 1995, P 4 IEE INT C ART NE, P442; Worden K, 1997, J SOUND VIB, V201, P85, DOI 10.1006/jsvi.1996.0747; Worden K, 2000, STRUCTURAL DYNAMICS: RECENT ADVANCES, VOLS 1 & 2, PROCEEDINGS, P965; Worden K, 2000, J SOUND VIB, V229, P647, DOI 10.1006/jsvi.1999.2514; WORDEN K, 1998, P ISMA, V23, P73	15	0	0	0	1	SOC EXPERIMENTAL MECHANICS INC	BETHEL	7 SCHOOL ST, BETHEL, CT 06801 USA	0277-786X	1996-756X	0-912053-72-0	PROC SPIE			2001	4359						1226	1233					4	Engineering, Civil; Engineering, Mechanical; Materials Science, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Materials Science	BS11E	WOS:000168694300188					2022-02-14	
C	Parlos, AG; Kim, K			AACC; AACC; AACC	Parlos, AG; Kim, K			Development and experimental demonstration of a model-based fault detection system for electromechanical systems	PROCEEDINGS OF THE 2001 AMERICAN CONTROL CONFERENCE, VOLS 1-6	PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE		English	Proceedings Paper	American Control Conference (ACC)	JUN 25-27, 2001	ARLINGTON, VA	Amer Automat Control Council, IFAC			MOTORS	Electromechanical systems, such as electric motors driving dynamic loads like pumps and compressors, often develop incipient faults that result in down-time. There is a large number of such fault classes, and their precise signatures depend on numerous parameters including variations in the motor power supply and driven load. Practical fault detection and diagnosis systems must exhibit high level of detection accuracy and acceptably low false alarm rates. They must have broad applicability, require installation of minimal extra sensors, and not require the use of detailed machine information for operation. In this paper the development and experimental demonstration of a model-based detection system for incipient electric machine faults is presented. The developed fault detection system uses recent developments in dynamic recurrent neural networks and multi-resolution signal processing. The sensors utilized are only those measuring the motor current and voltage. The effectiveness of the developed system is demonstrated by detecting stator, rotor and bearing faults at the early stages of development. Furthermore, the ability of the system to discriminate between false alarm caused by poor power quality, variations in the driven load level, and actual incipient faults is demonstrated.	Texas A&M Univ, Dept Mech Engn, College Stn, TX 77843 USA		Parlos, AG (corresponding author), Texas A&M Univ, Dept Mech Engn, College Stn, TX 77843 USA.						Atiya AF, 2000, IEEE T NEURAL NETWOR, V11, P697, DOI 10.1109/72.846741; BHARADWAJ R, 1999, P 1999 IEEE INT EL S, V3, P1283; KLIMAN GB, 1996, C REC IEEE IAS ANN M, P687; PATTON RJ, 1992, IEE C INT FAULT DI 2; SHOEN RR, 1995, IEEE T IND APPL, V31, P1274; SOTTILE J, 1993, IEEE T ENERGY CONVER, V8, P762, DOI 10.1109/60.260992	6	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0743-1619		0-7803-6495-3	P AMER CONTR CONF			2001							3866	3871					6	Automation & Control Systems; Engineering, Electrical & Electronic; Robotics	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Engineering; Robotics	BT65Z	WOS:000173663300690					2022-02-14	
C	Zhang, YM; Jiang, J; Flatley, M; Hill, B			AACC; AACC; AACC	Zhang, YM; Jiang, J; Flatley, M; Hill, B			Condition monitoring and fault detection of a compressor using signal processing techniques	PROCEEDINGS OF THE 2001 AMERICAN CONTROL CONFERENCE, VOLS 1-6	PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE		English	Proceedings Paper	American Control Conference (ACC)	JUN 25-27, 2001	ARLINGTON, VA	Amer Automat Control Council, IFAC				In this paper, several techniques developed for performance monitoring and fault detection of machinery in the petrochemical industry is presented. The main objective is to perform condition monitoring and fault detection of a compressor based on the collected vibration and other on-site data from a Bently Navada data acquisition system. Developed analysis techniques, configuration and functions of the computer program are also briefly introduced. The techniques can be divided into four parts: (1) time-domain analysis, (2) frequency-domain analysis, (3) orbit analysis, and (4) trend analysis. The developed program has been tested using on-site data from a compressor at Suncor Inc.	Univ Western Ontario, Dept Elect & Comp Engn, London, ON N6A 5B9, Canada		Zhang, YM (corresponding author), Univ Western Ontario, Dept Elect & Comp Engn, London, ON N6A 5B9, Canada.		Zhang, Youmin/AAT-7095-2020; Zhang, Youmin/G-4730-2014	Zhang, Youmin/0000-0002-9731-5943; Zhang, Youmin/0000-0002-9731-5943			BARRON R, 1996, ENG CONDITION MONITO; *BENTL NEV, 1996, MON SYST; Courrech J., 1996, SHOCK VIBRATION HDB; DIMAROGONAS A, 1996, VIBRATION ENGINEERS; DU R, 1995, J ENG IND-T ASME, V117, P121, DOI 10.1115/1.2803286; EDWARDS S, 1998, J SHOCK VIBRATION DI, V30, P4; LOPARO KA, 1998, P 1998 IEEE INT C SY; SMILEY RG, 1983, SOUND VIBRATION, P26; Vedam H, 1997, P AMER CONTR CONF, P309, DOI 10.1109/ACC.1997.611807; Zhang Y., 1999, Proceedings of the 38th IEEE Conference on Decision and Control (Cat. No.99CH36304), P3587, DOI 10.1109/CDC.1999.827909	10	9	9	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0743-1619		0-7803-6495-3	P AMER CONTR CONF			2001							4460	4465					6	Automation & Control Systems; Engineering, Electrical & Electronic; Robotics	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Engineering; Robotics	BT65Z	WOS:000173663300796					2022-02-14	
C	Walker, KJ; Shirkhodaie, A			IEEE; IEEE; IEEE	Walker, KJ; Shirkhodaie, A			Development of a virtual environment for fault diagnosis in rotary machinery	PROCEEDINGS OF THE 33RD SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY	PROCEEDINGS - SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY		English	Proceedings Paper	33rd Southeastern Symposium on System Theory	MAR 18-20, 2001	OHIO UNIV, ATHENS, OH	Russ Coll Engn & Technol, Sch Elect Engn & Comp Sci, IEEE Control Soc, IEEE	OHIO UNIV			Component fault analysis is a very widely researched area and requires a great deal of knowledge and expertise to establish a consistent and accurate tool for analysis. This paper will discuss a virtual diagnostic tool for fault detection of rotary machinery. The diagnostic tool has been developed using FMCELL software, which provides a 3-D graphical visualization environment to modeling rotary machinery with virtual data acquisition capabilities. The developed diagnostic tool provides a virtual testbed with suitable graphical user interfaces for rapid diagnostic fault analysis of machinery. In this paper, we will discuss details of this newly developed virtual diagnostic model using FMCELL software and present our approach for diagnostics of a mechanical bearing test bed (TSU-BTB). Furthermore, we will provide some examples of how the virtual diagnostic environment can be used for performing machinery fault diagnostics. Using a frequency pattern matching superimposing technique, the model is proven to be able to detect primary faults in machines with fair accuracy and reliability.	Tennessee State Univ, Coll Engn & Technol, Intelligent Mfg Res Lab, Nashville, TN 37219 USA		Walker, KJ (corresponding author), Tennessee State Univ, Coll Engn & Technol, Intelligent Mfg Res Lab, Nashville, TN 37219 USA.						CHOW MY, 1997, METHODOLOGIES USING, P6; GULLEY N, 1995, FUZZYLOGIC TOOLBOX U; Mitchell John S., 1981, INTRO MACHINERY ANAL, P202; SHIRHODAIE A, 1997, ENG ARCH S WORKSH EX, P2; SHIRHODAIE A, 1998, 52 M SOC MACH FAIL P, P3; SHIRKHODAIE A, 1999, FMCELL FLEXIBLE ROBO, V1; SHIRKHODAIE A, 1999, FMCELL FLEXIBLE ROBO, V2	7	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0094-2898		0-7803-6661-1	SOUTHEAST SYMP SYSTE			2001							99	103		10.1109/SSST.2001.918499			5	Automation & Control Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science; Engineering	BS29H	WOS:000169380400020					2022-02-14	
C	Blair, J; Shirkhodaie, A			IEEE; IEEE; IEEE	Blair, J; Shirkhodaie, A			Diagnosis and prognosis of bearings using data mining and numerical visualization techniques	PROCEEDINGS OF THE 33RD SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY	PROCEEDINGS - SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY		English	Proceedings Paper	33rd Southeastern Symposium on System Theory	MAR 18-20, 2001	OHIO UNIV, ATHENS, OH	Russ Coll Engn & Technol, Sch Elect Engn & Comp Sci, IEEE Control Soc, IEEE	OHIO UNIV			Traditionally, condition-based monitoring techniques have been used to diagnose failure in rotary machinery by application of low-level signal processing and trend analysis techniques. Such techniques consider small windows of data from large data sets to give preliminary information of developing fault(s) or failure precursor(s). However, these techniques only provide information of a minute portion of a large data set, which limits the accuracy of predicting the remaining useful life of the system. Diagnosis and prognosis (DAP) techniques should be able to identify the origin of the fault(s), estimate the rate of its progression and determine the remaining useful life of the system. This research demonstrates the use of data mining and numerical visualization techniques for diagnosis and prognosis of bearing vibration data. By using these techniques a comprehensive understanding of large vibration data sets can be attained. This approach uses intelligent agents to isolate particular bearing vibration characteristics using statistical analysis and signal processing for data compression. The results of the compressed data can be visualized in 3-D plots and used to track the origination and evolution of failure in the bearing vibration data. The Bearing Test Bed (TSUBTB) is used for applying measurable static and dynamic stresses on the bearing and collecting vibration signatures from the stressed bearings.	Tennessee State Univ, Dept Mech Engn, Machinery Condit Monitoring Lab, Nashville, TN 37209 USA		Blair, J (corresponding author), Tennessee State Univ, Dept Mech Engn, Machinery Condit Monitoring Lab, Nashville, TN 37209 USA.						BLAIR J, 2001, IN PRESS 2001 ASME I; COURRECH J, 1985, P 40 M MECH FAIL PRE; EDWARDS S, 1998, J SHOCK VIBRATION DI, V30, P4; JULIAN B, 1999, 53 M SOC MACH FAIL P; JUVINAL R.C., 1991, FUNDAMENTALS MACHINE, V2a; SHIRKHODAIE A, 1998, 52 M SOC MACH FAIL P; SHIRKHODAIE A, 1998, 6 ANN MECH ENG C IR; WILCOCK DF, 1957, BEARING; Wowk V., 1994, MACHINERY VIBRATION	9	4	5	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0094-2898		0-7803-6661-1	SOUTHEAST SYMP SYSTE			2001							395	399		10.1109/SSST.2001.918553			5	Automation & Control Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science; Engineering	BS29H	WOS:000169380400074					2022-02-14	
C	Contin, A; D'Orlando, S; Fenu, G; Menis, R; Milo, S; Parisini, T			IEEE; IEEE	Contin, A; D'Orlando, S; Fenu, G; Menis, R; Milo, S; Parisini, T			Fault detection on a real three-phase induction motor: Simulation and experimental results on residual generation	PROCEEDINGS OF THE 40TH IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-5	IEEE CONFERENCE ON DECISION AND CONTROL - PROCEEDINGS		English	Proceedings Paper	40th IEEE Conference on Decision and Control	DEC 04-07, 2001	ORLANDO, FL	IEEE Control Syst Soc, Soc Ind & Appl Math, Inst Operat Res & Management Sci		fault detection; nonlinear observer; feedback linearization; tracking errors		In the last decade AC machines became the industrial standard not only in high power - constant speed applications, but also in the medium and low power range. While most of the problems related to the feedback control of AC motors have been succesfully solved, another crucial point emerged with the diffusion of induction motors: the condition monitoring and the detection of their most common faults. In this work, a novel approach to fault diagnosis of AC motors is introduced. Specifically, the architecture of a nonlinear tracking controller made of an observer and a feedback-linearizing module is exploited in order to generate residual signals to be used for fault diagnosis purposes. In the paper, both simulation and experimental results on a real AC motor are provided showing tile effectiveness of the proposed approach.	Politecn Milan, Dept Elect Engn & Informat Sci, I-20133 Milan, Italy		Parisini, T (corresponding author), Politecn Milan, Dept Elect Engn & Informat Sci, Pza Leonardo Da Vinci 32, I-20133 Milan, Italy.		; MENIS, Roberto/C-3274-2019	FENU, GIANFRANCO/0000-0003-0867-8388; MENIS, Roberto/0000-0003-4087-1014			BELLINI A, 1988, AUTOMATICA, V24, P549, DOI 10.1016/0005-1098(88)90099-4; Benbouzid MEH, 1999, IEEE T ENERGY CONVER, V14, P1065, DOI 10.1109/60.815029; Blaschke F., 1972, Siemens Review, V39, P217; Leonhard W., 1996, CONTROL ELECT DRIVES; Lubineau D., 1999, Proceedings of the 14th World Congress. International Federation of Automatic Control, P303; MARINO R, 1993, IEEE T AUTOMAT CONTR, V38, P208, DOI 10.1109/9.250510; MARINO R, 1995, NONLINEAR CONTROL DE; VERGHESE GC, 1988, IEEE T IND ELECTRON, V35, P85, DOI 10.1109/41.3067	8	1	2	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0191-2216		0-7803-7061-9	IEEE DECIS CONTR P			2001							167	172					6	Automation & Control Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic; Operations Research & Management Science	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science; Engineering; Operations Research & Management Science	BV26B	WOS:000178362200032					2022-02-14	
C	He, YB; Lim, GH; Chua, PSK; Tan, ACH		YongXiang, L; Ying, C		He, YB; Lim, GH; Chua, PSK; Tan, ACH			Monitoring the condition of loaded modern water hydraulic axial piston motor and cylinder	PROCEEDINGS OF THE FIFTH INTERNATIONAL CONFERENCE ON FLUID POWER TRANSMISSION AND CONTROL (ICFP'2001)			English	Proceedings Paper	5th International Conference on Fluid Power Transmission and Control (ICFP 2001)	APR 03-05, 2001	ZHEJIANG UNIV, HANGZHOU, PEOPLES R CHINA	State Key Lab Fluid Power Transmiss & Control, Minist Educ, Natl Nat Sci Fdn China, Chiang Ind Charity Fdn, CAS S S Cooperat Fund, Chinese Mech Engn Soc, Chinese Fluid Power Transmiss & Control Soc, Shanghai Lixin Hydraul Components Plant, HAWA Int Trading Co Ltd	ZHEJIANG UNIV	fault diagnosis; water hydraulic system		Recent advancement in technology has produced materials that can withstand highly corrosive environment and lubrication-free materials for water hydraulic components. With precision machining becoming possible, very close tolerances can now be achieved to reduce internal leakage due to the low viscosity of water. Many industries are slowly but steadily turning to water hydraulic systems to replace their oil hydraulic systems. The use of water hydraulic systems will increase in future as new applications are found for this technology. As with all systems, the increasing use of water hydraulic systems by more industries will result in the need to monitor and maintain the systems. This paper is concerned with the condition monitoring and fault diagnosis of loaded modem water hydraulic cylinder and axial piston motor. LabVIEW software was used for data acquisition and processing. It provides a graphical programming environment that integrates data acquisition, analysis and presentation in one system for effective analysis. Likely real-life faults were simulated on the actuator's internal components. Some results such as the vibration signatures and amplitude spectra of the water hydraulic actuators under different operating conditions of simulated loads and speeds are presented and discussed. The results show that there is a distinctive variation in vibration signals, flow rate and average stroking duration with increase in loads for both actuators. The actuators were also operated to capture their unique vibration signals in their faulty states and the results compared with reference signatures of the same actuators when they were in their new or healthy states. The results imply that LabVIEW software can be written to set warning levels and trigger an alarm when a fault is impending.	Nanyang Technol Univ, Sch Mech & Prod Engn, Singapore 639798, Singapore		He, YB (corresponding author), Nanyang Technol Univ, Sch Mech & Prod Engn, 50 Nanyang Ave, Singapore 639798, Singapore.						TAN ACH, 2000, P INT C PROD RES BAN; TAN CH, 2000, THESIS NANYANG TECHN; Totten G.E., 2000, HDB HYDRAULIC FLUID	3	6	6	0	2	INTERNATIONAL ACADEMIC PUBLISHERS LTD	HONG KONG	UNIT 1205, 12 FLOOR, SINO PLAZA, 255 GLOUCESTER ROAD, HONG KONG 00000, CAUSEWAY BAY, PEOPLES R CHINA			7-5062-4955-3				2001							447	451					5	Engineering, Mechanical	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BU56M	WOS:000176367500097					2022-02-14	
J	Hu, W; Starr, A; Leung, A				Hu, W; Starr, A; Leung, A			A multisensor-based system for manufacturing process monitoring	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE			English	Article						dynamic systems approaches; manufacturing system; process monitoring; diagnosis; condition monitoring	MODELS	In order to improve the availability and productivity of manufacturing systems, process monitoring has become an important matter in modern automated plants. The traditional monitoring technologies are based on single sensors and are inadequate, especially for manufacturing processes of highly, complicated and automated systems. Instead, multisensor-based technologies are developing rapidly and are widely used for such monitoring tasks. This paper introduces a multisensor-based process monitoring system for an existing machining centre. The system can monitor the major manufacturing process faults or abnormalities of the machining centre and provide maintenance planning through measuring and analysing multiple sensor parameters such as power, vibration, temperature and pressure of spindle, feed axes and hydraulic and pneumatic systems of the machining centre. The general structure of the monitoring system and the implementation of the main steps of the monitoring system development are presented in detail.	Univ Manchester, Manchester Sch Engn, Manchester M13 9PL, Lancs, England		Starr, A (corresponding author), Univ Manchester, Manchester Sch Engn, Simon Bldg,Oxford Rd, Manchester M13 9PL, Lancs, England.		Starr, Andrew/K-2927-2013; Starr, Andrew/N-9238-2019	Starr, Andrew/0000-0001-9046-560X			HERMANN G, 1990, COMPUT IND, V14, P131, DOI 10.1016/0166-3615(90)90113-4; Hope A.D., 1996, NOISE VIBRATION WORL, V27, P17; Hu W, 1999, INT J MACH TOOL MANU, V39, P1979, DOI 10.1016/S0890-6955(99)00022-X; LITTLEFAIR G, 1995, P IEEE INT C NEUR NE, V2, P734; MARTINI E, 1994, CINEFORUM, V34, P4; Moose C.A., 1998, TRIBO TEST, V4, P393; Noori-Khajavi A, 1993, ANN CIRP, V42, P71; Owsley LMD, 1997, IEEE T SIGNAL PROCES, V45, P2787, DOI 10.1109/78.650105; Ravindra HV, 1997, WEAR, V212, P78, DOI 10.1016/S0043-1648(97)00137-3; Santochi M., 1997, ANN CIRP, V46, P49; Silva RG, 1998, MECH SYST SIGNAL PR, V12, P319, DOI 10.1006/mssp.1997.0123; Soliman E, 1997, INT J ADV MANUF TECH, V13, P27, DOI 10.1007/BF01179227; STEIN JL, 1990, J DYN SYST-T ASME, V112, P239, DOI 10.1115/1.2896131; Zhang A. H., 1995, CONDITION MONITORING	14	5	5	0	6	PROFESSIONAL ENGINEERING PUBLISHING LTD	BURY ST EDMUNDS	NORTHGATE AVENUE,, BURY ST EDMUNDS IP32 6BW, SUFFOLK, ENGLAND	0954-4054			P I MECH ENG B-J ENG	Proc. Inst. Mech. Eng. Part B-J. Eng. Manuf.		2001	215	9					1165	1175		10.1243/0954405011519204			11	Engineering, Manufacturing; Engineering, Mechanical	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	496VC	WOS:000172416900001		Green Submitted			2022-02-14	
J	Jack, LB; Nandi, AK				Jack, LB; Nandi, AK			Support vector machines for detection and characterization of rolling element bearing faults	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE			English	Article						support vector machines; neural networks; condition monitoring	CLASSIFICATION	Artificial neural networks (ANNs) have been used to detect faults in rotating machinery for a number of years, using statistical estimates of the vibration signal as input features, and they have been shown to be highly successful in this type of application. Support vector machines (SVMs) are a more recent development, and little use has been made of them in the condition monitoring (CM) arena. The availability of a limited amount of training data creates some problems for the use of SVMs, and a strategy is offered that improves the generalization performance significantly in cases where only limited training data are available. This paper examines the performance of both types of classifier in one given scenario-a multiclass fault characterization example.	Univ Liverpool, Dept Elect Engn & Elect, Signal Proc & Commun Div, Liverpool L69 3GJ, Merseyside, England		Nandi, AK (corresponding author), Univ Liverpool, Dept Elect Engn & Elect, Signal Proc & Commun Div, Brownlow Hill, Liverpool L69 3GJ, Merseyside, England.		Nandi, Asoke/C-4572-2011				Baillie DC, 1996, MECH SYST SIGNAL PR, V10, P1, DOI 10.1006/mssp.1996.0001; Burges CJC, 1998, DATA MIN KNOWL DISC, V2, P121, DOI 10.1023/A:1009715923555; Campbell C., 1998, SIMPLE LEARNING ALGO; Chapelle O, 1999, IEEE T NEURAL NETWOR, V10, P1055, DOI 10.1109/72.788646; FERNANDEZ R, 1999, P EUR S ART NEUR NET, P195; GUYON I, P NIPS 99 SPEC WORKS; Haykin S., 1998, NEURAL NETWORKS COMP, V2; Hearst MA, 1998, IEEE INTELL SYST APP, V13, P18, DOI 10.1109/5254.708428; Jack LB, 1999, COMADEM '99, PROCEEDINGS, P381; Jack LB, 2000, IEE P-VIS IMAGE SIGN, V147, P205, DOI 10.1049/ip-vis:20000325; KEERTHI SS, 1999, CD9914 NAT U SING DE; LIU TI, 1992, MECH SYST SIGNAL PR, V6, P419, DOI 10.1016/0888-3270(92)90066-R; Mangasarian OL, 1999, IEEE T NEURAL NETWOR, V10, P1032, DOI 10.1109/72.788643; McCormick A. C., 1998, International Journal of COMADEM, V1, P5; McCormick AC, 1997, IEEE T NEURAL NETWOR, V8, P748, DOI 10.1109/72.572110; McCormick AC, 1997, P I MECH ENG C-J MEC, V211, P439, DOI 10.1243/0954406971521845; NANDI AK, 1999, BLIND ESTIMATION USI; Nikias CL, 1993, IEEE SIGNAL PROC MAG, V10, P10, DOI 10.1109/79.221324; Papoulis A., 1991, PROBABILITY RANDOM V; Platt J, 1998, ADV KERNEL METHODS S, V208; POLYCARPOU MM, 1995, IEEE T SYST MAN CYB, V25, P1447, DOI 10.1109/21.467710; Rojas R., 1996, NEURAL NETWORKS SYST; SORSA T, 1991, IEEE T SYST MAN CYB, V21, P815, DOI 10.1109/21.108299; Vapnik V. N., 1968, SOV MATH DOKL, V9, P915; Vapnik VN., 1998, STAT LEARNING THEORY; Weston J., 1999, P ESANN99 BRUSS BELG	26	74	75	0	25	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	0954-4062	2041-2983		P I MECH ENG C-J MEC	Proc. Inst. Mech. Eng. Part C-J. Eng. Mech. Eng. Sci.		2001	215	9					1065	1074		10.1243/0954406011524423			10	Engineering, Mechanical	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	494VB	WOS:000172305600006					2022-02-14	
